carID,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
C12372,Mercedes-Benz,400-Class,1992,regular unleaded,268.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,20,15,617,2168
C12373,Mercedes-Benz,420-Class,1990,regular unleaded,201.0,8.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,17,14,617,2000
C12374,Ferrari,456M,2001,premium unleaded (required),442.0,12.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,14,9,2774,223970
C12375,Ferrari,458 Italia,2013,premium unleaded (required),562.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Convertible,17,13,2774,257412
C12376,Alfa Romeo,4C,2015,premium unleaded (required),237.0,4.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,34,24,113,63900
C12377,Toyota,4Runner,2014,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,23,17,2031,41365
C12378,BMW,5 Series Gran Turismo,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Hatchback,Luxury",Large,4dr Hatchback,28,19,3916,60700
C12379,BMW,5 Series,2015,premium unleaded (required),443.0,8.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,25,16,3916,67200
C12380,Mercedes-Benz,500-Class,1991,regular unleaded,322.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,17,13,617,4155
C12381,FIAT,500e,2015,electric,,0.0,DIRECT_DRIVE,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,108,122,819,31800
C12382,FIAT,500,2015,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,2.0,"Factory Tuner,Performance",Compact,Convertible,34,28,819,26595
C12383,FIAT,500L,2015,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,33,25,819,19345
C12384,FIAT,500X,2016,regular unleaded,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,30,21,819,24635
C12385,Ferrari,550,2001,premium unleaded (required),485.0,12.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Convertible,12,8,2774,248500
C12386,Mercedes-Benz,560-Class,1990,regular unleaded,238.0,8.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Large,Coupe,16,12,617,2323
C12387,McLaren,570S,2016,premium unleaded (required),562.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,23,16,416,184900
C12388,Ferrari,575M,2002,premium unleaded (required),515.0,12.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,15,9,2774,214670
C12389,Maybach,57,2010,premium unleaded (required),543.0,12.0,AUTOMATIC,rear wheel drive,4.0,"Exotic,Luxury",Large,Sedan,16,10,67,366000
C12390,Ferrari,599,2009,premium unleaded (required),611.0,12.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Midsize,Coupe,15,11,2774,320580
C12391,Mazda,5,2013,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,28,22,586,24470
C12392,BMW,6 Series Gran Coupe,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,24,16,3916,92600
C12393,BMW,6 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,High-Performance",Midsize,Convertible,25,17,3916,94900
C12394,Mercedes-Benz,600-Class,1992,regular unleaded,402.0,12.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,14,10,617,2960
C12395,Pontiac,6000,1990,regular unleaded,140.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,27,17,210,2000
C12396,Ferrari,612 Scaglietti,2009,premium unleaded (required),532.0,12.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Large,Coupe,16,9,2774,313088
C12397,Mazda,626,2000,regular unleaded,170.0,6.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,25,19,586,2080
C12398,Maybach,62,2010,premium unleaded (required),604.0,12.0,AUTOMATIC,rear wheel drive,4.0,"Exotic,Luxury,High-Performance",Large,Sedan,16,10,67,456500
C12399,McLaren,650S Coupe,2015,premium unleaded (required),641.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,22,16,416,265500
C12400,McLaren,650S Spider,2015,premium unleaded (required),641.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Convertible,22,16,416,280225
C12401,Mazda,6,2015,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,38,26,586,24895
C12402,BMW,7 Series,2015,premium unleaded (required),535.0,12.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,20,13,3916,141200
C12403,Porsche,718 Cayman,2017,premium unleaded (required),300.0,4.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,21,1715,53900
C12404,Volvo,740,1990,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
C12405,Volvo,760,1990,regular unleaded,144.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,19,15,870,2000
C12406,Volvo,780,1990,regular unleaded,188.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,20,16,870,2000
C12407,BMW,8 Series,1995,regular unleaded,282.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,22,15,3916,4784
C12408,Audi,80,1990,regular unleaded,108.0,4.0,MANUAL,front wheel drive,4.0,Luxury,Compact,Sedan,28,19,3105,2000
C12409,Volvo,850,1995,regular unleaded,222.0,5.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Midsize,Wagon,24,17,870,2000
C12410,Toyota,86,2017,premium unleaded (recommended),205.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,28,21,2031,26255
C12411,Saab,9-2X,2005,premium unleaded (required),227.0,4.0,MANUAL,all wheel drive,4.0,"Luxury,Performance",Compact,Wagon,24,17,376,26950
C12412,Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220.0,4.0,MANUAL,front wheel drive,4.0,"Flex Fuel,Luxury",Midsize,Sedan,33,20,376,28900
C12413,Saab,9-3,2009,premium unleaded (recommended),210.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Compact,Wagon,27,17,376,37810
C12414,Saab,9-4X,2011,premium unleaded (required),265.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,25,18,376,37250
C12415,Saab,9-5,2009,premium unleaded (recommended),260.0,4.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,27,17,376,39400
C12416,Saab,9-7X,2007,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,4dr SUV,20,14,376,39190
C12417,Saab,9000,1996,regular unleaded,225.0,4.0,MANUAL,front wheel drive,4.0,"Hatchback,Factory Tuner,Luxury,Performance",Midsize,4dr Hatchback,25,18,376,2000
C12418,Saab,900,1996,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,26,18,376,2000
C12419,Audi,90,1993,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Compact,Sedan,20,15,3105,2000
C12420,Porsche,911,2015,premium unleaded (required),350.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,27,19,1715,96200
C12421,Porsche,928,1993,regular unleaded,345.0,8.0,MANUAL,rear wheel drive,2.0,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,17,11,1715,6294
C12422,Mazda,929,1993,regular unleaded,195.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,Sedan,22,17,586,2000
C12423,Volvo,940,1993,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,25,17,870,2000
C12424,Porsche,944,1990,regular unleaded,208.0,4.0,MANUAL,rear wheel drive,2.0,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,24,15,1715,2667
C12425,Volvo,960,1995,regular unleaded,181.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,23,15,870,2000
C12426,Porsche,968,1993,regular unleaded,236.0,4.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,24,15,1715,4651
C12427,Audi,A3,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,"Diesel,Luxury",Compact,Sedan,43,31,3105,35150
C12428,Audi,A4 allroad,2017,premium unleaded (recommended),252.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Luxury,Midsize,Wagon,28,23,3105,51400
C12429,Audi,A4,2015,premium unleaded (required),220.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,31,22,3105,45000
C12430,Audi,A5,2016,premium unleaded (required),220.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Midsize,Coupe,31,22,3105,43800
C12431,Audi,A6,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,38,24,3105,58700
C12432,Audi,A7,2015,premium unleaded (required),310.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,28,18,3105,65900
C12433,Audi,A8,2016,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Large,Sedan,36,24,3105,85200
C12434,GMC,Acadia Limited,2017,regular unleaded,281.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,22,15,549,43850
C12435,GMC,Acadia,2015,regular unleaded,281.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,24,17,549,33975
C12436,Hyundai,Accent,2014,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,37,27,1439,17395
C12437,Plymouth,Acclaim,1993,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,29,22,535,2000
C12438,Honda,Accord Crosstour,2010,regular unleaded,271.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Hatchback",Midsize,4dr Hatchback,25,17,2202,34020
C12439,Honda,Accord Hybrid,2014,regular unleaded,195.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Midsize,Sedan,45,50,2202,31905
C12440,Honda,Accord Plug-In Hybrid,2014,regular unleaded,196.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Midsize,Sedan,46,47,2202,39780
C12441,Honda,Accord,2015,regular unleaded,278.0,6.0,MANUAL,front wheel drive,2.0,Performance,Midsize,Coupe,28,18,2202,30775
C12442,Oldsmobile,Achieva,1996,regular unleaded,150.0,4.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,30,20,26,2000
C12443,BMW,ActiveHybrid 5,2014,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance,Hybrid",Large,Sedan,30,23,3916,61400
C12444,BMW,ActiveHybrid 7,2013,premium unleaded (required),350.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance,Hybrid",Large,Sedan,30,22,3916,84300
C12445,BMW,ActiveHybrid X6,2010,premium unleaded (required),480.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Performance,Hybrid",Midsize,4dr SUV,19,17,3916,88900
C12446,Suzuki,Aerio,2005,regular unleaded,155.0,4.0,AUTOMATIC,all wheel drive,4.0,,Compact,Sedan,26,21,481,17049
C12447,Ford,Aerostar,1995,regular unleaded,135.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Cargo Minivan,22,16,5657,2000
C12448,Oldsmobile,Alero,2002,regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Coupe,27,18,26,22395
C12449,Cadillac,Allante,1991,regular unleaded,200.0,8.0,AUTOMATIC,front wheel drive,2.0,"Luxury,Performance",Compact,Convertible,20,14,1624,2000
C12450,Audi,allroad quattro,2003,regular unleaded,250.0,6.0,MANUAL,all wheel drive,4.0,"Crossover,Luxury,Performance",Midsize,Wagon,21,14,3105,39950
C12451,Audi,allroad,2014,premium unleaded (recommended),220.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,27,20,3105,40700
C12452,BMW,ALPINA B6 Gran Coupe,2015,premium unleaded (required),540.0,8.0,AUTOMATIC,all wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Large,Sedan,24,16,3916,117300
C12453,BMW,ALPINA B7,2014,premium unleaded (required),540.0,8.0,AUTOMATIC,all wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Large,Sedan,24,16,3916,135200
C12454,BMW,Alpina,2003,premium unleaded (required),375.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Convertible,19,13,3916,136900
C12455,Nissan,Altima Hybrid,2009,regular unleaded,198.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Midsize,Sedan,33,35,2009,26650
C12456,Nissan,Altima,2015,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,38,27,2009,22560
C12457,Kia,Amanti,2007,regular unleaded,264.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,24,17,1720,25495
C12458,Mercedes-Benz,AMG GT,2016,premium unleaded (required),503.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Coupe,22,16,617,129900
C12459,Nissan,Armada,2014,regular unleaded,317.0,8.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,4dr SUV,19,13,2009,37590
C12460,Bentley,Arnage,2007,premium unleaded (required),450.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Exotic,Luxury,Performance",Large,Sedan,15,10,520,221990
C12461,Chrysler,Aspen,2007,regular unleaded,235.0,8.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,4dr SUV,17,13,1013,30935
C12462,Ford,Aspire,1995,regular unleaded,63.0,4.0,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,38,31,5657,2000
C12463,Chevrolet,Astro Cargo,2003,regular unleaded,190.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Large,Cargo Minivan,21,15,1385,22050
C12464,Chevrolet,Astro,2003,regular unleaded,190.0,6.0,AUTOMATIC,all wheel drive,3.0,,Large,Passenger Minivan,16,12,1385,25690
C12465,Cadillac,ATS Coupe,2015,flex-fuel (unleaded/E85),321.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Flex Fuel,Luxury,High-Performance",Compact,Coupe,28,18,1624,48165
C12466,Cadillac,ATS-V,2016,premium unleaded (recommended),464.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,23,17,1624,62665
C12467,Cadillac,ATS,2015,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Compact,Sedan,28,20,1624,41340
C12468,Oldsmobile,Aurora,2001,premium unleaded (required),250.0,8.0,AUTOMATIC,front wheel drive,4.0,Performance,Large,Sedan,23,15,26,34794
C12469,Chevrolet,Avalanche,2010,flex-fuel (unleaded/E85),320.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,45815
C12470,Toyota,Avalon Hybrid,2015,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Midsize,Sedan,39,40,2031,37800
C12471,Toyota,Avalon,2015,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,Performance,Midsize,Sedan,31,21,2031,37170
C12472,Dodge,Avenger,2012,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,19,1851,25995
C12473,Lamborghini,Aventador,2014,premium unleaded (required),700.0,12.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Exotic,High-Performance",Midsize,Convertible,16,10,1158,441600
C12474,Chevrolet,Aveo,2009,regular unleaded,107.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,27,1385,11965
C12475,Lincoln,Aviator,2003,premium unleaded (required),302.0,8.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,4dr SUV,17,12,61,45125
C12476,Nissan,Axxess,1990,regular unleaded,138.0,4.0,MANUAL,front wheel drive,3.0,,Compact,Passenger Minivan,24,19,2009,2000
C12477,Hyundai,Azera,2015,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Performance,Midsize,Sedan,28,19,1439,38200
C12478,Pontiac,Aztek,2003,regular unleaded,185.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,22,16,210,23820
C12479,Bentley,Azure T,2010,premium unleaded (required),500.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Luxury,High-Performance",Large,Convertible,15,9,520,363000
C12480,Bentley,Azure,2007,premium unleaded (required),450.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Luxury",Large,Convertible,15,10,520,329990
C12481,Mercedes-Benz,B-Class Electric Drive,2015,electric,177.0,0.0,DIRECT_DRIVE,front wheel drive,4.0,"Hatchback,Luxury",Compact,4dr Hatchback,82,85,617,41450
C12482,Mazda,B-Series Pickup,1998,regular unleaded,119.0,4.0,MANUAL,rear wheel drive,2.0,,Compact,Regular Cab Pickup,24,19,586,2179
C12483,Mazda,B-Series Truck,2007,regular unleaded,207.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Extended Cab Pickup,17,14,586,26590
C12484,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,four wheel drive,2.0,,Compact,Extended Cab Pickup,19,15,586,20030
C12485,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,21,16,640,30695
C12486,Subaru,Baja,2004,regular unleaded,165.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,25,19,640,22795
C12487,Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Convertible,32,24,873,27295
C12488,Volkswagen,Beetle,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,"Hatchback,Diesel",Compact,2dr Hatchback,41,31,873,25895
C12489,Chevrolet,Beretta,1994,regular unleaded,170.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,27,18,1385,2000
C12490,Chevrolet,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320.0,8.0,AUTOMATIC,four wheel drive,4.0,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,39030
C12491,Lincoln,Blackwood,2002,premium unleaded (required),300.0,8.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Crew Cab Pickup,15,11,61,51785
C12492,Chevrolet,Blazer,2003,regular unleaded,190.0,6.0,MANUAL,rear wheel drive,2.0,,Compact,2dr SUV,20,14,1385,20745
C12493,Chevrolet,Bolt EV,2017,electric,200.0,,DIRECT_DRIVE,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,110,128,1385,40905
C12494,Pontiac,Bonneville,2003,regular unleaded,205.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,27,17,210,26695
C12495,Kia,Borrego,2009,regular unleaded,337.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,22,15,1720,30995
C12496,Porsche,Boxster,2014,premium unleaded (required),315.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,28,20,1715,62100
C12497,Oldsmobile,Bravada,2002,regular unleaded,270.0,6.0,AUTOMATIC,all wheel drive,4.0,,Midsize,4dr SUV,19,14,26,34745
C12498,Plymouth,Breeze,1998,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,33,23,535,2000
C12499,Ford,Bronco II,1990,regular unleaded,140.0,6.0,MANUAL,rear wheel drive,2.0,,Compact,2dr SUV,20,16,5657,2000
C12500,Ford,Bronco,1994,regular unleaded,185.0,8.0,MANUAL,four wheel drive,2.0,,Midsize,2dr SUV,16,12,5657,2308
C12501,Bentley,Brooklands,2009,premium unleaded (required),530.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Luxury,High-Performance",Large,Coupe,14,10,520,340990
C12502,Cadillac,Brougham,1990,regular unleaded,140.0,8.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,22,15,1624,2000
C12503,Subaru,BRZ,2015,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,30,22,640,29490
C12504,Mercedes-Benz,C-Class,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,31,24,617,40400
C12505,Ford,C-Max Hybrid,2015,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Compact,Wagon,37,42,5657,27170
C12506,Volvo,C30,2011,premium unleaded (recommended),227.0,5.0,MANUAL,front wheel drive,2.0,"Hatchback,Luxury",Compact,2dr Hatchback,29,21,870,24700
C12507,Mercedes-Benz,C36 AMG,1995,regular unleaded,268.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Factory Tuner,Luxury,Performance",Compact,Sedan,20,16,617,3555
C12508,Mercedes-Benz,C43 AMG,1998,regular unleaded,302.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Factory Tuner,Luxury,Performance",Compact,Sedan,21,16,617,4472
C12509,Volvo,C70,2011,premium unleaded (recommended),227.0,5.0,AUTOMATIC,front wheel drive,2.0,Luxury,Compact,Convertible,28,19,870,39950
C12510,Spyker,C8,2009,premium unleaded (required),400.0,8.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,18,13,2,209990
C12511,Audi,Cabriolet,1996,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,2.0,Luxury,Compact,Convertible,22,17,3105,2631
C12512,Volkswagen,Cabriolet,1991,regular unleaded,94.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Convertible,29,22,873,2000
C12513,Volkswagen,Cabrio,2000,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Convertible,28,21,873,2473
